cluster_index,residue_index,x,y
0,7,161.250494,-168.693269
1,7,63.393083,-126.404235
2,7,65.925273,37.956106
3,7,79.847971,-156.373438
4,7,-102.644028,-149.982458
5,7,-63.988498,-34.551366
6,7,105.449003,-15.296292
7,7,86.233918,0.398315
8,7,-85.181331,173.145132
9,7,79.322361,18.209778
10,7,-84.904804,138.923316
11,7,108.379523,150.469723
12,7,90.780167,177.921428
13,7,-158.894079,168.882711
14,7,-62.205716,-48.87252
15,7,-77.163734,-12.056483
16,7,-105.584035,12.817256
17,7,85.180013,85.526939
18,7,-96.630368,70.809616
19,7,89.613025,-60.731542
0,0,-66.890761,134.157196
1,0,-65.595511,-44.487703
2,0,-76.768861,156.775532
3,0,148.694325,134.166704
4,0,-143.100236,76.525289
5,0,-74.319159,-15.07885
6,0,-54.495388,-47.234112
7,0,60.34395,38.046937
8,0,-103.671535,39.22246
9,0,-151.633096,154.357125
10,0,-90.725048,3.219309
11,0,-111.517639,-27.490186
12,0,-73.289863,-33.872322
13,0,-60.380286,-38.229754
14,0,-61.258444,-27.063037
15,0,-90.050047,92.893312
16,0,76.110451,-96.156913
17,0,-57.755356,-58.724703
18,0,-114.959816,137.005084
19,0,-112.309504,-103.407562
0,19,-90.074486,-12.219244
1,19,71.963078,-69.60378
2,19,-63.123843,-38.333081
3,19,-146.654434,148.01912
4,19,-115.385555,-49.906973
5,19,-118.117658,8.799758
6,19,-66.213739,131.192471
7,19,-61.051018,-46.697385
8,19,-86.167686,100.131728
9,19,95.464004,61.769881
10,19,-66.249263,-25.322266
11,19,-90.777312,122.804001
12,19,-126.196242,162.149961
13,19,-77.113341,153.937697
14,19,-108.847875,136.768487
15,19,-61.979425,-56.904075
16,19,-125.20723,82.8259
17,19,-114.523763,117.216005
18,19,-80.429924,-41.72328
19,19,-128.825359,130.857723
0,10,-115.547389,151.867098
1,10,-58.110348,-40.901895
2,10,-111.142375,28.051158
3,10,-78.938778,156.022039
4,10,-64.369656,-28.681617
5,10,-65.780159,-84.60763
6,10,-54.079556,-54.368866
7,10,-123.836343,-24.614479
8,10,-108.468069,123.943796
9,10,138.639904,-116.313805
10,10,-92.926404,-48.912597
11,10,-64.160605,-46.978878
12,10,-71.068125,131.715253
13,10,-145.081196,133.217622
14,10,-92.684957,0.069008
15,10,-68.808207,-37.625248
16,10,-88.820258,-25.160626
17,10,-71.625223,-14.611685
18,10,64.06906,33.705471
19,10,-95.741569,93.902957
0,9,-105.764523,132.075232
1,9,-59.695976,-41.133711
2,9,-108.972847,-16.175616
3,9,-61.410163,-48.90216
4,9,-47.759828,-53.557812
5,9,-96.938068,-48.595792
6,9,73.877437,-70.046138
7,9,-68.212082,-20.137997
8,9,-68.567122,-43.569753
9,9,-60.921886,-31.847844
10,9,-68.529426,-61.541992
11,9,-113.683636,18.279097
12,9,-74.842672,-34.466808
13,9,-95.691203,109.686705
14,9,-86.152844,-4.681208
15,9,-125.952677,121.39216
16,9,-72.945854,134.809425
17,9,-119.737779,-75.193498
18,9,-133.130373,155.247031
19,9,103.241096,89.25
0,15,-72.352426,150.464054
1,15,-89.509684,0.713824
2,15,-94.879059,-21.932818
3,15,129.113375,-152.073274
4,15,-57.158725,-85.145418
5,15,-91.182814,78.705725
6,15,-138.955677,-44.439335
7,15,-117.778908,19.516436
8,15,-73.17933,-43.785122
9,15,-138.982288,111.929636
10,15,-84.165095,170.750222
11,15,-71.180646,-14.618908
12,15,-103.371355,128.432241
13,15,-157.770717,160.881213
14,15,-61.294507,-38.345396
15,15,-56.0256,-50.010932
16,15,-65.812493,-27.431483
17,15,-128.579459,155.604127
18,15,-61.518203,128.424331
19,15,64.283384,36.736207
0,16,-123.611425,-5.419782
1,16,-149.845157,155.369045
2,16,-115.142455,25.121186
3,16,-128.064476,-75.644502
4,16,-60.798867,-46.062417
5,16,-81.902547,160.871815
6,16,52.143382,-81.705633
